Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2018/11/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,20.45999908,19.45999908,19.45000076,20.69000053,,,,,,,,,,,,,,,6,,,,,,,,,,8.420000076,,,,,,,,,,,,,,,,
Australia,AUS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,6.264900208,6.105199814,5.783599854,7.16260004,9.961400032,8.986800194,8.258099556,8.080599785,8.106399536,7.225800037,6.175000191,6.926000118,9.579199791,10.72879982,10.87380028,9.718700409,8.46930027,8.506199837,8.362199783,7.675600052,6.872300148,6.282599926,6.742300034,6.367599964,5.92869997,5.39470005,5.03249979,4.782299995,4.376999855,4.234200001,5.56069994,5.211299896,5.081200123,5.224500179,5.663099766,6.078299999,6.055699825,5.710800171,5.594200134
Austria,AUT,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,2.799999952,2.400000095,1.5,1.299999952,1.200000048,1.299999952,2,2,1.799999952,2.099999905,2,1.899999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.301400185,4.820000172,4.563799858,4.864999771,5.334799767,5.619699955,5.722700119,6.013800144,5.499000072
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109999999,0.170000002,0.519999981,0.649999976,0.800000012,0.899999976,1.029999971,1.129999995,,,,,,,,,,,5.753499985,5.672999859,5.521999836,5.274799824,5.059599876,4.938799858,4.960000038,5,5
Burundi,BDI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.479999989,,,,,,,,,14,,,,,,,,,,,,,,,1.570000052,,,22
Belgium,BEL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,2.099999905,2.700000048,2.799999952,3,5.099999905,6.5,,7.900000095,,9.100000381,,13,,,,,,,,,,,,,,,,,,,,,,7.363399982,8.440199852,8.245900154,7.457900047,6.975599766,7.907599926,8.292499542,7.1395998,7.541699886,8.425299644,8.52270031,8.482000351,7.829699993,7.086200237
Benin,BEN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,0.180000007,,,,,,1.50999999,,,,,,,,,,0.689999998,,,,,,,,1.039999962,2.646500111,,,,,,
Burkina Faso,BFA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,1.299999952,,,,,,,,,2.579999924,,,,2.440000057,,,,,2.779999971,,4,2.329999924,3.299999952,,,,,,,6.479499817,,,
Bangladesh,BGD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,2.039999962,2.019999981,0.959999979,,,0.920000017,,2.200000048,,,,,2.50999999,,,,3.269999981,,,4.320000172,,4.25,3.590600014,,,5,3.378900051,,,4.426199913,,,4.349999905,4.372300148
Bulgaria,BGR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.700000048,11.10000038,15.30000019,16.39999962,12.80000019,11.10000038,12.5,,,,,,,,,,,,,6.816599846,10.27939987,11.25959969,12.26990032,12.94079971,11.42380047,9.143300056,7.57460022,6.164400101
Bahrain,BHR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,3.099999905,,,,,,,,,,6.349999905,,,,,,,,,,5.5,,,9,,,5.599999905,3.700000048,4,,,,,,,,
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,8.600000381,,21.20000076,,20.86000061,,14.69999981,,,,,,,12.09000015,,11.02000046,11.59000015,7.769999981,12.17000008,14.80000019,12.72000027,13.82999992,10.82999992,11.46000004,9.760000229,7.650000095,7.449999809,,6.869999886,9.050000191,10.84000015,10.19999981,10.19999981,7.539999962,7.880000114,8.180000305,14.25,,14.52000046,14.02000046,16.18000031,,,,
Bosnia and Herzegovina,BIH,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.54999924,,,,,,,,,,,,,,,31.10000038,28.93000031,23.29999924,24.03000069,27.20000076,27.60000038,28.04999924,27.45000076,27.52000046,28.22999954,25.95000076,18.12000084
Belarus,BLR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050000001,0.5,1.399999976,2.099999905,2.900000095,4,2.799999952,2.299999952,2.099999905,2.099999905,2.299999952,3,3.099999905,1.899999976,1.5,1.200000048,1,0.800000012,6.099999905,,0.600000024,0.5,0.5,0.5,1,5.840000153,
Belize,BLZ,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.779999733,11.10000038,12.47999954,13.81999969,12.68000031,14.31000042,12.84000015,,9.069999695,10.03999996,,,10.90999985,9.390000343,8.510000229,8.180000305,,,,15.29839993,12.92879963,11.56980038,9.970000267,7.909999847,9.329299927
Bermuda,BMU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.710000038,,,,,,,,,4.480000019,6.489999771,,8.43999958,6.659999847,8.93999958,,,
Bolivia,BOL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,9,8.100000381,7.099999905,6.099999905,5.199999809,5.300000191,5.300000191,5.5,5.599999905,6.099999905,10.15999985,11.60000038,14.18999958,14.65999985,19.28000069,19.76000023,20.31999969,18,,,6.590000153,,5.989999771,3.079999924,3.690000057,5.230000019,2.079999924,,3.930000067,4.46999979,,,,,,,,2.603399992,2.863399982,,2.218600035,2.047899961,2.393899918,2.006500006,3.065999985,3.055999994,3.232800007
Brazil,BRA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,3.059999943,2.779999971,,,1.919999957,2.319999933,2.359999895,2.75999999,,3.99000001,4.829999924,4.619999886,4.039999962,3.380000114,2.369999886,3.559999943,3.789999962,2.970000029,,,6.420000076,6.03000021,,6.420499802,7.253399849,8.158399582,9.422800064,10.20829964,,9.6104002,9.370900154,,,,,,,,6.739799976,,,,,,11.60949993,12.82730007
Barbados,BRB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,9.859999657,12.44999981,13.28999996,9.449999809,8.979999542,7.230000019,8.390000343,9.06000042,17.02000046,18.85000038,17.87999916,17.94000053,17.56999969,14.06000042,8.159999847,17.30400085,23.00270081,24.65780067,22.97999954,19.6385994,14.71000004,14.56330013,12.14579964,10.3423996,9.350000381,9.886300087,10.2876997,11.00599957,9.602899551,9.078499794,8.73429966,7.411300182,8.117500305,10.02000046,10.68999958,11.1899004,11.59549999,11.70810032,12.17000008,11.35000038,9.720000267,
Brunei Darussalam,BRN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,8.251999855,7.849999905,8.062999725,8.696000099,10.04100037,7.668000221,7.842000008,6.547999859,6.037000179,,,,,,,,4.699999809,,,,,,,,,,,,,,,,,,,,1.720000029,,,6.965099812,,,9.315999985
Bhutan,BTN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.399999976,1.399999976,,1.899999976,,1.799999952,2.49000001,,3.130000114,3.700000048,,3.960000038,3.319999933,3.230000019,2.049999952,2.869999886,2.630000114,2.450000048,,
Botswana,BWA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,25.67000008,,,,,,13.81999969,,,,,21.57999992,,20.86000061,,15.88000011,18.54000092,,23.79999924,,,17.79999924,,,16.1692009,17.86000061,,,,,,,
Central African Republic,CAF,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,4.699999809,5.900000095,6.400000095,6.300000191,5.599999905,5.400000095,6.900000095,7.089600086,8.048700333,8.375800133,7.525300026,7.536799908,7.60710001,11.04030037,12.01840019,11.34440041,10.50249958,9.593000412,8.819999695,7.761899948,7.546500206,8.131099701,,11.19699955,11.37689972,10.39519978,9.488900185,,9.100500107,8.278499603,7.583099842,6.828700066,,7.664800167,7.573800087,7.185299873,6.758100033,6.320300102,6.036099911,6.13710022,8.343999863,8.055500031,,7.291800022,7.073599815,6.91410017,6.906499863,6.998899937,6.339700222
Central Europe and the Baltics,CEB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.442808771,8.095378308,,,,,,,,,,,,,,,,,,8.488824534,9.901967619,9.634495083,9.978224158,10.0460624,8.951639025,7.816352178,6.488548429,5.293790484
Switzerland,CHE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,0.300000012,0.699999988,0.400000006,0.400000006,0.400000006,0.200000003,0.200000003,0.400000006,0.899999976,1.100000024,1,0.800000012,0.800000012,0.699999988,0.600000024,,,,,,,,,,,,,,,,,,,,4.116099834,4.80670023,4.407599926,4.484600067,4.74669981,4.825900078,4.800700188,4.917900085,4.796700001
Channel Islands,CHI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,14.68999958,12.75,11.82999992,14.26000023,13.63000011,10.46000004,11.35000038,19.60000038,14.64999962,13.90999985,,8.710000038,,6.230000019,5.289999962,,6.449100018,,4.658699989,,7.30880022,,7.136000156,,11.15799999,,10.39000034,10.16800022,,10.1619997,9.340000153,,8.427000046,9.284999847,,8.424300194,,6.659399986,,6.664899826,,6.738200188,6.958099842
China,CHN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,5.300000191,5.400000095,4.900000095,3.799999952,3.200000048,2.299999952,1.899999976,1.799999952,2,2,2,2.599999905,2.5,2.299999952,2.299999952,2.599999905,2.799999952,2.900000095,3,3.099999905,3.099999905,3.099999905,3.099999905,3.599999905,4,4.300000191,4.199999809,4.199999809,4.099999905,4,4.199999809,4.300000191,4.099999905,4.099999905,4.099999905,4.050000191,4.099999905,,,
Cote d'Ivoire,CIV,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.699999809,,,4.099999905,,,,,,,,,,,,,,,,,7.222899914,4.254499912,,,2.59920001,
Cameroon,CMR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.06000042,,,,,7.460000038,,,,4.400000095,,,,,4.110000134,,,,3.533799887,,,
"Congo, Dem. Rep.",COD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.849100113,,,,,,,4.485199928,,,,,
"Congo, Rep.",COG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.79560089,,,,16.10000038,,,10,,,,,
Colombia,COL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,10.55000019,,9.399999619,,,9.100000381,8.130000114,11.46000004,11.13000011,13,13.89000034,12.93999958,10.82999992,,,,10.11999989,9.43999958,,8.25,8.720000267,11.81000042,12.14000034,15,20.05999947,20.52000046,15.03999996,15.63300037,14.18900013,13.71700001,11.86999989,12.02980042,11.20400047,11.27299976,12.06599998,10.98400021,10.11089993,9.74050045,9.051699638,8.572199821,8.298999786,8.691800117,8.87250042
Comoros,COM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.95000076,,,,,,,,,,,,,4.571400166,,,,,,,,,,,,,
Cabo Verde,CPV,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,10.67000008,,,,,36.45830154,,
Costa Rica,CRI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,8.699999809,,,,,,,,,4.511000156,5.373000145,3.927000046,3.953999996,4.045000076,5.176000118,6.162000179,5.681000233,5.327000141,5.894999981,5.081999779,5.914999962,6.334000111,6.558000088,6.390999794,6.571000099,5.739999771,4.489999771,4.781000137,7.712999821,7.170800209,10.13939953,,,,,,
Caribbean small states,CSS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.37669297,17.01127325,17.18618551,16.14872607,15.67856058,15.26611861,14.95452933,14.06838312,13.94808998,,12.84174457,12.30212773,11.60779962,10.97957258,10.38823332,9.07085279,8.435967159,8.859101786,10.0093313,,10.24075088,11.2004577,11.68163815,10.02275737,10.30803917,10.27980862,
Cuba,CUB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.270000458,7.610000134,7.099999905,6.230000019,6.260000229,5.449999809,4.079999924,3.309999943,2.329999924,1.850000024,1.950000048,1.909999967,1.789999962,1.580000043,1.669999957,2.5,3.180000067,3.460000038,3.289999962,2.700000048,,,
Curacao,CUW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.779999733,,13.02999973,12.60999966,11.71000004,,
Cayman Islands,CYM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.909999847,,7.21999979,5.739999771,4.940000057,5.099999905,4.139999866,4.170000076,,,7.539999962,5.369999886,3.609999895,3.450000048,3.539999962,2.619999886,3.829999924,3.970000029,6.039999962,,6.78000021,6.210000038,6.269999981,4.699999809,4.239999771,,
Cyprus,CYP,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,10.89999962,7.400000095,3.099999905,2,1.700000048,2,2.599999905,2.799999952,3.299999952,3.299999952,3.299999952,3.700000048,3.400000095,2.799999952,2.299999952,1.799999952,3,,2.700000048,2.700000048,2.599999905,3.099999905,3.400000095,3.299999952,,,,,,,,4.542900085,3.921999931,3.654700041,5.363900185,6.262800217,,11.79520035,15.87069988,16.08799934,14.90839958,12.94979954,11.05150032
Czech Republic,CZE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.699999988,,2.599999905,,,,,,,,,,,,,,,,,6.662099838,7.279099941,6.711100101,6.978199959,6.952700138,6.107900143,5.04640007,3.951400042,2.889800072
Germany,DEU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,6.449399948,6.674699783,6.874899864,6.610000134,6.816400051,6.318600178,5.705699921,4.890299797,,,,,,,,,,,,,,,,,,,7.741600037,6.966400146,5.824399948,5.379399776,5.23059988,4.98059988,4.624199867,4.121799946,3.745500088
Djibouti,DJI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.32999992,,9.529999733,,,,,,23.18000031,,15.67000008,,10.96000004,,,,,,,,,,,,,,,,
Denmark,DNK,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,0.899999976,2.099999905,5.099999905,5.300000191,6.400000095,7.300000191,6.099999905,7,9.199999809,10,,,,,,,,,,,,,,,,,5.141499996,4.475999832,,,,,,,,,6.0072999,7.463600159,7.572700024,7.525800228,6.99669981,6.58920002,6.168300152,6.180699825,5.7427001
Dominican Republic,DOM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.69000053,15.96000004,14.39999962,13.81999969,6.432400227,7.261799812,,,6.302899837,6.586599827,5.654500008,5.157700062,4.76429987,5.466599941,5.211999893,6.086900234,6.722000122,7.351500034,6.718900204,,,5.831699848
Algeria,DZA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.63999939,21.26000023,22.5,24.37999916,26.22999954,27.73999977,31.84000015,,25.43000031,,,29.77000046,27.29999924,25.89999962,23.71999931,17.64999962,15.27000046,12.27000046,13.78999996,11.32999992,10.15999985,9.960000038,9.960000038,10.97000027,9.819999695,10.20720005,11.20610046,10.20240021,11.99590015
East Asia & Pacific (excluding high income),EAP,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.606169034,2.587959682,2.543440538,2.797432765,2.971111091,3.058978587,3.169002043,3.330490809,3.586891308,3.653053434,3.639469234,3.802863547,4.369859487,4.347156644,4.3263555,4.495511931,4.378036252,4.308792568,4.408562318,4.216578764,3.92300016,3.86752719,3.816016057,3.744813938,3.749480683,,,
Early-demographic dividend,EAR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.182677758,,,,,,5.327521605,,,,,,,,,,,,4.831306255,,,,,
East Asia & Pacific,EAS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.613702989,2.62840104,2.610472767,2.87171326,3.032015609,3.110438561,3.216817644,3.366703203,3.740599963,3.825761978,3.756353341,3.915370703,4.440252629,4.416331827,4.354206679,4.47677938,4.341907152,4.254381441,4.346234132,4.275775077,4.000268276,3.905054455,3.844582602,3.762608246,3.758024275,,,
Europe & Central Asia (excluding high income),ECA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.934743944,8.421581543,7.527196756,7.01503374,7.070118471,7.096804802,7.288457672,7.391847528,7.359609448
Europe & Central Asia,ECS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.999437359,9.112147252,8.709856688,8.966942129,9.181526007,8.820022509,8.438816249,8.077646315,7.525506339
Ecuador,ECU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,4.400000095,5.300000191,,5.800000191,,,,,,,,,,7.239999771,6.989999771,7.710000038,,8.18999958,8.56000042,7.949999809,6.679999828,6.699999809,10.38000011,9.170000076,11.48999977,13.96000004,4.799499989,4.251699924,9.069999695,5.66230011,5.00180006,3.77850008,3.549700022,3.142299891,3.91689992,,,,,3.082600117,3.479799986,3.615700006,4.597000122,3.836199999
"Egypt, Arab Rep.",EGY,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,2.400000095,1.820000052,1.529999971,1.710000038,2.299999952,2.569999933,,3.130000114,3.640000105,4.550000191,5.179999828,4.96999979,5.210000038,6.46999979,5.889999866,,,,,7.059999943,8.430000305,9.380000114,8.920000076,10.92000008,10.93000031,11.03999996,9,8.369999886,8.029999733,7.949999809,8.979999542,9.260000229,10.01000023,11.01000023,10.31999969,11.19999981,10.48999977,8.800000191,8.516799927,9.086700439,8.756500244,11.84930038,12.59720039,13.15380001,13.10490036,13.05220032,12.40670013,
Euro area,EMU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.867656865,10.40150506,10.47164712,11.68421449,12.27639605,11.65149157,10.85927788,10.26157207,9.052581829
Eritrea,ERI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,1.299999952,1.100000024,1.5,1.5,,,,2.900000095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8567009,19.85969925,21.39049911,24.78720093,26.09359932,24.44129944,22.05730057,19.63470078,17.22360039
